Name of Place ,Type of Location,Location,Accessbilty Feature,User Rate,Contatc Information,Disability preferences ,Location
Jack in the Box,Restaurent,Dallas,Assistive Devices,4.1,https://www.jackinthebox.com,Speech Disability ,"1140 N. Central Expy, Dallas, TX 75204"
Chipotle Mexican Grill,Restaurent,Dallas,Assistive Devices,4.4,https://www.chipotle.com,Speech Disability ,"7030 Greenville Ave, Dallas, TX 75231"
Subway,Restaurent,Dallas,Assistive Devices,4.3,https://www.subway.com,Speech Disability ,"4230 N. Central Expy, Dallas, TX 75205"
Dairy Queen,Restaurent,Dallas,Assistive Devices,4.2,https://www.dairyqueen.com,Speech Disability ,"1515 W. 7th St, Dallas, TX 75208"
Pei Wei Asian Diner,Restaurent,Dallas,Assistive Devices,4.5,https://www.peiwei.com,Speech Disability ,"3150 W. 7th St, Dallas, TX 75201"
Freddy's Frozen Custard & Steakburgers,Restaurent,Dallas,Assistive Devices,4.3,https://www.freddysusa.com,Speech Disability ,"3000 W. 15th St, Plano, TX 75075"
Einstein Bros Bagels,Restaurent,Dallas,Assistive Devices,4.3,https://www.einsteinbros.com,Speech Disability ,"7300 N. Central Expy, Dallas, TX 75206"
Café Express,Restaurent,Dallas,Assistive Devices,4.4,https://www.cafeexpress.com,Speech Disability ,"1000 N. Central Expy, Dallas, TX 75204"
Pizza Hut,Restaurent,Dallas,Assistive Devices,4,https://www.pizzahut.com,Speech Disability ,"2123 W. 7th St, Dallas, TX 75208"
Taco Bell,Restaurent,Dallas,Assistive Devices,4.1,https://www.tacobell.com,Speech Disability ,"1011 W. 7th St, Dallas, TX 75208"
